Name,Base_price,Body_style,Seats,Base_ Engine,Base_Power,Mileage,Drive,Towing,Min_cargo_L,Front_headroom,Front_legroom,Rear_legroom,Rear_shoulder,Fuel_capacity,Batt,Range
2021 Acura RDX,44505,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44506,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44507,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44508,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44509,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44510,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44511,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44512,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44513,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44514,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44515,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44516,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44517,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44518,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44519,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44520,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44521,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44522,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44523,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44524,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44525,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44526,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44527,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44528,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44529,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44530,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44531,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44532,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44533,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44534,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44535,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44536,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44537,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44538,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44539,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44540,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44541,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44542,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44543,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44544,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44545,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44546,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44547,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44548,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44549,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44550,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44551,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44552,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44553,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44554,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44555,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44556,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44557,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44558,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44559,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44560,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44561,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44562,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44563,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44564,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44565,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44566,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44567,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44568,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44569,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44570,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44571,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44572,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44573,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44574,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44575,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44576,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44577,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44578,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44579,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44580,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44581,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44582,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
2021 Acura RDX,44583,SUV,5,Gasoline,272,9.9,AWD,1500,835,39.6,41.6,38.4,56.6,65,0,654
