,Name,Base_price,Body_style,Seats,Base_Engine,Base_Power,Mileage,Drive,Towing,Min_cargo_L,Front_headroom,Front_legroom,Rear_legroom,Rear_shoulder,Fuel_capacity,Batt,Range
0,2021 Acura RDX,44505,1,5,1,272.0,9.9,1,1500.0,835.0,39.6,41.6,38.4,56.6,65.0,0.0,654.0
1,2022 Acura MDX,56405,1,7,1,290.0,11.2,1,5000.0,513.0,38.5,41.6,38.5,60.3,70.0,0.0,625.0
2,2021 Acura ILX,30805,2,5,1,201.0,8.6,2,0.0,350.0,38.0,42.3,34.0,53.5,50.0,0.0,581.0
3,2022 Acura NSX,221500,3,2,2,600.0,11.0,1,0.0,110.0,38.3,42.9,0.0,0.0,59.0,1.3,539.0
4,2021 Acura TLX,44105,2,5,1,272.0,9.8,1,0.0,382.0,37.2,42.5,34.9,55.0,60.0,0.0,612.0
5,2022 Alfa Romeo Giulia,55995,2,5,1,280.0,9.2,1,0.0,0.0,38.6,42.4,35.1,53.6,57.0,0.0,620.0
6,2022 Alfa Romeo Stelvio,57595,1,5,1,280.0,9.6,1,3000.0,525.0,40.2,36.6,31.9,56.0,63.0,0.0,656.0
7,2022 Aston Martin DB11,236500,3,4,1,527.0,11.6,3,0.0,0.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,78.0,0.0,675.0
8,2022 Aston Martin DBS,363800,3,4,1,715.0,13.8,3,0.0,0.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,78.0,0.0,564.0
9,2022 Aston Martin DBX,203500,1,5,1,542.0,15.2,1,6000.0,694.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,85.0,0.0,559.0
10,2022 Aston Martin Vantage,159900,3,2,1,503.0,11.5,3,0.0,0.0,39.89795396419440,41.87605263157890,0.0,0.0,73.0,0.0,634.0
11,2022 Audi Q5,47500,1,5,2,261.0,9.5,1,4400.0,757.0,41.7,41.0,37.8,56.5,70.0,0.5,741.0
12,2022 Audi Q3,38400,1,5,1,184.0,9.2,1,0.0,672.0,41.5,40.0,36.1,55.1,60.0,0.0,653.0
13,2022 Audi A3,38900,2,5,2,201.0,7.7,1,0.0,309.0,36.8,41.2,35.2,53.0,55.0,0.5,719.0
14,2022 Audi A4,43300,2,5,2,201.0,8.2,1,0.0,368.0,40.9,41.3,35.2,56.9,58.0,0.5,712.0
15,2022 Audi A4 allroad,50700,8,5,2,261.0,9.0,1,0.0,680.0,40.9,41.3,35.2,54.4,58.0,0.5,648.0
16,2022 Audi A5,55300,3,4,2,261.0,8.8,1,0.0,465.0,39.6,41.3,35.1,54.3,58.0,0.5,658.0
17,2022 Audi A5 Sportback,51500,4,4,2,261.0,8.8,1,0.0,618.0,40.0,41.3,35.1,57.0,58.0,0.5,658.0
18,2022 Audi A6,65000,2,5,2,261.0,9.2,1,0.0,0.0,41.5,41.87605263157890,32.76197916666670,57.8,75.0,0.5,816.0
19,2022 Audi A6 Allroad,78500,8,5,2,335.0,10.6,1,0.0,0.0,41.5,41.3,37.4,56.5,73.0,0.5,690.0
20,2022 Audi A7,81700,4,5,2,335.0,9.7,1,0.0,705.0,40.4,41.3,37.0,58.7,73.0,0.5,754.0
21,2021 Audi A8,99900,2,5,2,335.0,11.5,1,0.0,354.0,41.4,41.5,44.3,61.1,82.0,0.5,713.0
22,2022 Audi e-tron,86600,1,5,3,360.0,3.0,1,4000.0,660.0,39.8,40.8,39.1,60.0,0.0,95.0,357.0
23,2022 Audi e-tron GT,129900,2,5,3,522.0,2.9,1,0.0,350.0,39.4,41.9,32.2,57.1,0.0,93.4,383.0
24,2022 Audi e-tron Sportback,89100,4,5,3,402.0,3.1,1,4000.0,770.0,41.2,41.87605263157890,32.76197916666670,60.0,0.0,95.0,351.0
25,2022 Audi Q4 e-tron,59950,1,5,3,295.0,2.5,1,2650.0,701.0,41.8,41.87605263157890,32.76197916666670,55.2,0.0,82.0,388.0
